00:00.688  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\supply-carrier-v24\models\chunkbuster\chunkbuster.blend"
INFO Draco is available, use library at C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\work\blender-portable\blender-5.2.0-windows-x64\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_draco_bridge.dll
INFO MeshOptimizer is available, use library at C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\work\blender-portable\blender-5.2.0-windows-x64\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_meshopt_bridge.dll
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_03.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_04.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_04.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_05.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_LouverEdge_05.002
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_ReleaseLatch.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_ReleaseLatch.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_ServiceCassette.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_ServiceCassette.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.077
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cylinder.076
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_StatusLens.007
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_StatusLens.006
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_StatusLens.005
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: AFT_StatusLens.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.128
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: FIELD_LinkRadome.004
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: FIELD_LinkRadome.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.127
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.126
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.125
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.124
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.123
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.122
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.121
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.120
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H01_ContinuousLiftingBody_Mesh.003
14:54:55 | INFO: Primitives created: 2
14:54:55 | INFO: Extracting primitive: H03_CrownJoint.018
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H03_CrownJoint.017
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H03_CrownJoint.016
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H03_CrownJoint.015
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H03_CrownJoint.014
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H03_CrownJoint.013
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.119
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.118
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.117
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: Cube.116
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H06_NoseChamfer.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: H07_ShoulderJoint.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: I01_ShoulderIntake_Bezel.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: I01_ShoulderIntake_Interior_Mesh.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P01_IntakeCowl.003
14:54:55 | INFO: Primitives created: 2
14:54:55 | INFO: Extracting primitive: P02_IntakeLip.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P03_IntakeThroat.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P04_IntakeBack.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P05_WingCowlBlend.006
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P05_WingCowlBlend.005
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P06_IntakeGuide.006
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P06_IntakeGuide.005
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P07_CowlWarning.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P10_ExhaustRim.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P11_ExhaustThroat.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P12_ExhaustBack.003
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.048
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.047
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.046
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.045
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.044
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.043
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.042
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.041
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.040
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.039
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.038
14:54:55 | INFO: Primitives created: 1
14:54:55 | INFO: Extracting primitive: P13_HeatPetal.037
14:54:55 | INFO: Primitives created: 1
