00:00.562  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\carrier-v29-proposal\carrier-v29-proposal.blend"
07:30:48 | INFO: Blender create Mesh node Bridge_individual_window.015
07:30:48 | INFO: Blender create Mesh node Bridge_individual_window.016
07:30:48 | INFO: Blender create Mesh node Bridge_service_hatch
07:30:48 | INFO: Blender create Mesh node Bridge_service_hatch.001
07:30:48 | INFO: Blender create Mesh node Bridge_service_hatch.002
07:30:48 | INFO: Blender create Mesh node Bridge_service_hatch.003
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.001
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.002
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.003
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.004
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.005
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.006
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.007
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.008
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.009
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.010
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.011
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.012
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.013
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.014
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.015
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.016
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.017
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.018
07:30:48 | INFO: Blender create Mesh node Cassette_cooling_fin.019
07:30:48 | INFO: Blender create Mesh node Compact_emitter_gimbal
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.001
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.002
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.003
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.004
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.005
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.006
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.007
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.008
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.009
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.010
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.011
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.012
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.013
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.014
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.015
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.016
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.017
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.018
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.019
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.020
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.021
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.022
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.023
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.024
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.025
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.026
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.027
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.028
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.029
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.030
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.031
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.032
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.033
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.034
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.035
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.036
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.037
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.038
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.039
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.040
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.041
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.042
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.043
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.044
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.045
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.046
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.047
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.048
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.049
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.050
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.051
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.052
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.053
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.054
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.055
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.056
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.057
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.058
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.059
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.060
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.061
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.062
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.063
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.064
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.065
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.066
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.067
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.068
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.069
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.070
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.071
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.072
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.073
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.074
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.075
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.076
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.077
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.078
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.079
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.080
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.081
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.082
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.083
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.084
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.085
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.086
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.087
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.088
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.089
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.090
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.091
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.092
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.093
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.094
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.095
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.096
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.097
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.098
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.099
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.100
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.101
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.102
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.103
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.104
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.105
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.106
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.107
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.108
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.109
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.110
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.111
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.112
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.113
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.114
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.115
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.116
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.117
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.118
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.119
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.120
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.121
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.122
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.123
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.124
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.125
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.126
07:30:48 | INFO: Blender create Mesh node Dorsal_fitted_panel.127
07:30:48 | INFO: Blender create Mesh node Emitter_conductor
07:30:48 | INFO: Blender create Mesh node Emitter_diagonal_hanger
07:30:48 | INFO: Blender create Mesh node Emitter_diagonal_hanger.001
07:30:48 | INFO: Blender create Mesh node Emitter_hydraulic_ram
07:30:48 | INFO: Blender create Mesh node Emitter_hydraulic_ram.001
07:30:48 | INFO: Blender create Mesh node Emitter_optical_surface
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.001
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.002
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.003
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.004
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.005
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.006
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.007
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.008
07:30:48 | INFO: Blender create Mesh node Emitter_service_segment.009
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.001
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.002
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.003
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.004
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.005
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.006
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.007
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.008
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.009
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.010
07:30:48 | INFO: Blender create Mesh node Exhaust_vector_vane.011
07:30:48 | INFO: Blender create Mesh node Flush_maintenance_handrail
07:30:48 | INFO: Blender create Mesh node Flush_maintenance_handrail.001
07:30:48 | INFO: Blender create Mesh node Flush_maintenance_handrail.002
07:30:48 | INFO: Blender create Mesh node Flush_maintenance_handrail.003
07:30:48 | INFO: Blender create Mesh node Forward_swept_V_command_bridge
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.001
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.002
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.003
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.004
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.005
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.006
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.007
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.008
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.009
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.010
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.011
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.012
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.013
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.014
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.015
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.016
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.017
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.018
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.019
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.020
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.021
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.022
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.023
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.024
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.025
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.026
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.027
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.028
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.029
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.030
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.031
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.032
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.033
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.034
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.035
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.036
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.037
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.038
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.039
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.040
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.041
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.042
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.043
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.044
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.045
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.046
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.047
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.048
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.049
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.050
07:30:48 | INFO: Blender create Mesh node Inset_radiator_lamella.051
07:30:48 | INFO: Blender create Mesh node Keel_flush_access_plate
07:30:48 | INFO: Blender create Mesh node Keel_flush_access_plate.001
07:30:48 | INFO: Blender create Mesh node Keel_flush_access_plate.002
07:30:48 | INFO: Blender create Mesh node Keel_flush_access_plate.003
07:30:48 | INFO: Blender create Mesh node Keel_flush_access_plate.004
07:30:48 | INFO: Blender create Mesh node Keel_flush_access_plate.005
07:30:48 | INFO: Blender create Mesh node Keel_flush_plate_latch
07:30:48 | INFO: Blender create Mesh node Keel_flush_plate_latch.001
07:30:48 | INFO: Blender create Mesh node Keel_flush_plate_latch.002
07:30:48 | INFO: Blender create Mesh node Keel_flush_plate_latch.003
07:30:48 | INFO: Blender create Mesh node Keel_flush_plate_latch.004
07:30:48 | INFO: Blender create Mesh node Keel_flush_plate_latch.005
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.001
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.002
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.003
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.004
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.005
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.006
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.007
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.008
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.009
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.010
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.011
07:30:48 | INFO: Blender create Mesh node Leading_edge_armor.012
