00:00.781  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\carrier-v25\chunkbuster-v25.blend"
16:21:42 | INFO: Blender create Mesh node Cube.417
16:21:42 | INFO: Blender create Mesh node Cube.423
16:21:42 | INFO: Blender create Mesh node Cube.421
16:21:42 | INFO: Blender create Mesh node Cube.427
16:21:42 | INFO: Blender create Mesh node Cube.425
16:21:42 | INFO: Blender create Mesh node Cube.431
16:21:42 | INFO: Blender create Mesh node Cube.429
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_0.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_0.006
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_1.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_1_1.006
16:21:42 | INFO: Blender create Mesh node Cylinder.166
16:21:42 | INFO: Blender create Mesh node Cylinder.164
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_0.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_0.006
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_1.008
16:21:42 | INFO: Blender create Mesh node GEAR_TelescopicStage_-1_1.006
16:21:42 | INFO: Blender create Mesh node Cylinder.170
16:21:42 | INFO: Blender create Mesh node Cylinder.168
16:21:42 | INFO: Blender create Mesh node H01_ContinuousLiftingBody_Mesh.005
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.030
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.028
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.026
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.024
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.022
16:21:42 | INFO: Blender create Mesh node H03_CrownJoint.020
16:21:42 | INFO: Blender create Mesh node Cube.415
16:21:42 | INFO: Blender create Mesh node Cube.413
16:21:42 | INFO: Blender create Mesh node Cube.411
16:21:42 | INFO: Blender create Mesh node Cube.409
16:21:42 | INFO: Blender create Mesh node H06_NoseChamfer.005
16:21:42 | INFO: Blender create Mesh node H07_ShoulderJoint.005
16:21:42 | INFO: Blender create Mesh node I01_ShoulderIntake_Bezel.005
16:21:42 | INFO: Blender create Mesh node I01_ShoulderIntake_Interior_Mesh.005
16:21:42 | INFO: Blender create Mesh node P01_IntakeCowl.005
16:21:42 | INFO: Blender create Mesh node P02_IntakeLip.005
16:21:42 | INFO: Blender create Mesh node P03_IntakeThroat.005
16:21:42 | INFO: Blender create Mesh node P04_IntakeBack.005
16:21:42 | INFO: Blender create Mesh node P05_WingCowlBlend.010
16:21:42 | INFO: Blender create Mesh node P05_WingCowlBlend.008
16:21:42 | INFO: Blender create Mesh node P06_IntakeGuide.010
16:21:42 | INFO: Blender create Mesh node P06_IntakeGuide.008
16:21:42 | INFO: Blender create Mesh node P07_CowlWarning.005
16:21:42 | INFO: Blender create Mesh node P10_ExhaustRim.005
16:21:42 | INFO: Blender create Mesh node P11_ExhaustThroat.005
16:21:42 | INFO: Blender create Mesh node P12_ExhaustBack.005
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.080
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.078
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.076
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.074
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.072
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.070
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.068
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.066
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.064
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.062
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.060
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.058
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.056
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.054
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.052
16:21:42 | INFO: Blender create Mesh node P13_HeatPetal.050
16:21:42 | INFO: Blender create Mesh node P14_InternalMixer.015
16:21:42 | INFO: Blender create Mesh node P14_InternalMixer.013
16:21:42 | INFO: Blender create Mesh node P14_InternalMixer.011
16:21:42 | INFO: Blender create Mesh node P15_ExhaustApron.005
16:21:42 | INFO: Blender create Mesh node R01_DuctWall_Mesh.005
16:21:42 | INFO: Blender create Mesh node R02_RecessedLip_Mesh.005
16:21:42 | INFO: Blender create Mesh node R03_LowerLip_Mesh.005
16:21:42 | INFO: Blender create Mesh node Cylinder.162
16:21:42 | INFO: Blender create Mesh node Cylinder.160
16:21:42 | INFO: Blender create Mesh node R06_Blade_00_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_01_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_02_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_03_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_04_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_05_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_06_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_07_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_08_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_09_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_10_Mesh.005
16:21:43 | INFO: Blender create Mesh node R06_Blade_11_Mesh.005
16:21:43 | INFO: Blender create Mesh node Cube.407
16:21:43 | INFO: Blender create Mesh node Cube.405
16:21:43 | INFO: Blender create Mesh node Cube.403
16:21:43 | INFO: Blender create Mesh node Cube.401
16:21:43 | INFO: Blender create Mesh node Cube.399
16:21:43 | INFO: Blender create Mesh node Cube.397
16:21:43 | INFO: Blender create Mesh node S01_VisorRecess_Mesh.005
16:21:43 | INFO: Blender create Mesh node S02_VisorOptic_Mesh.005
16:21:43 | INFO: Blender create Mesh node Cube.395
16:21:43 | INFO: Blender create Mesh node Cube.393
16:21:43 | INFO: Blender create Mesh node Cube.391
16:21:43 | INFO: Blender create Mesh node Cube.389
16:21:43 | INFO: Blender create Mesh node Cube.387
16:21:43 | INFO: Blender create Mesh node Cube.385
16:21:43 | INFO: Blender create Mesh node Cube.383
16:21:43 | INFO: Blender create Mesh node V22_AvionicsServiceLockSlot.004
16:21:43 | INFO: Blender create Mesh node Cylinder.158
16:21:43 | INFO: Blender create Mesh node V22_AvionicsServiceSeal.004
16:21:43 | INFO: Blender create Mesh node V22_AvionicsServiceSkin.004
16:21:43 | INFO: Blender create Mesh node Cylinder.156
16:21:43 | INFO: Blender create Mesh node Cylinder.154
16:21:43 | INFO: Blender create Mesh node Cylinder.152
16:21:43 | INFO: Blender create Mesh node Cylinder.150
16:21:43 | INFO: Blender create Mesh node Cylinder.148
16:21:43 | INFO: Blender create Mesh node Cylinder.146
16:21:43 | INFO: Blender create Mesh node Cylinder.144
16:21:43 | INFO: Blender create Mesh node Cylinder.142
16:21:43 | INFO: Blender create Mesh node Cylinder.140
16:21:43 | INFO: Blender create Mesh node Cylinder.138
16:21:43 | INFO: Blender create Mesh node Cylinder.136
16:21:43 | INFO: Blender create Mesh node Cylinder.134
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.059
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.057
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.055
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.053
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.051
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.049
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.047
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.045
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.043
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.041
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.039
16:21:43 | INFO: Blender create Mesh node V22_FanFastenerSlot.037
16:21:43 | INFO: Blender create Mesh node V22_FanServiceRim.009
16:21:43 | INFO: Blender create Mesh node V22_FanServiceRim.007
16:21:43 | INFO: Blender create Mesh node V22_ForwardAccessLockSlot.004
16:21:43 | INFO: Blender create Mesh node Cylinder.132
16:21:43 | INFO: Blender create Mesh node V22_ForwardAccessSeal.004
16:21:43 | INFO: Blender create Mesh node V22_ForwardAccessSkin.004
16:21:43 | INFO: Blender create Mesh node V22_OutboardAccessLockSlot.004
16:21:43 | INFO: Blender create Mesh node Cylinder.130
16:21:43 | INFO: Blender create Mesh node V22_OutboardAccessSeal.004
16:21:43 | INFO: Blender create Mesh node V22_OutboardAccessSkin.004
16:21:43 | INFO: Blender create Mesh node V22_ReleaseWitness.009
16:21:43 | INFO: Blender create Mesh node V22_ReleaseWitness.007
16:21:43 | INFO: Blender create Mesh node W01_PanelJoint_00.005
16:21:43 | INFO: Blender create Mesh node W01_PanelJoint_01.005
16:21:43 | INFO: Blender create Mesh node W04_TipMark.005
16:21:43 | INFO: Blender create Mesh node Cube.381
16:21:43 | INFO: Blender create Mesh node Cube.379
16:21:43 | INFO: Blender create Mesh node Cube.377
16:21:43 | INFO: Blender create Mesh node Cube.375
16:21:43 | INFO: Blender create Mesh node Cube.373
16:21:43 | INFO: Blender create Mesh node W06_ProposedElevonHinge.010
16:21:43 | INFO: Blender create Mesh node W06_ProposedElevonHinge.008
16:21:43 | INFO: Blender create Mesh node W07_TipPanelJoint.005
16:21:43 | INFO: Blender create Mesh node W08_TipFold.005
16:21:43 | INFO: Blender create Mesh node Cylinder.189
16:21:43 | INFO: Blender create Mesh node Cylinder.187
16:21:43 | INFO: Blender create Mesh node Cylinder.185
16:21:43 | INFO: Blender create Mesh node Cylinder.183
16:21:43 | INFO: Blender create Mesh node Cylinder.181
16:21:43 | INFO: Blender create Mesh node Cylinder.179
16:21:43 | INFO: Blender create Mesh node AFT_CassetteGasket.006
16:21:43 | INFO: Blender create Mesh node AFT_CassetteGasket.004
16:21:43 | INFO: Blender create Mesh node Cylinder.177
16:21:43 | INFO: Blender create Mesh node Cylinder.175
16:21:43 | INFO: Blender create Mesh node AFT_FastenerSlot.022
16:21:43 | INFO: Blender create Mesh node AFT_FastenerSlot.020
16:21:43 | INFO: Blender create Mesh node AFT_FastenerSlot.018
16:21:43 | INFO: Blender create Mesh node AFT_FastenerSlot.016
16:21:43 | INFO: Blender create Mesh node AFT_FastenerSlot.014
16:21:43 | INFO: Blender create Mesh node AFT_FastenerSlot.012
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_00.007
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_00.005
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_01.007
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_01.005
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_02.007
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_02.005
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_03.007
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_03.005
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_04.007
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_04.005
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_05.007
16:21:43 | INFO: Blender create Mesh node AFT_HeatExchangerThroat_05.005
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_00.006
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_00.004
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_01.006
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_01.004
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_02.006
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_02.004
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_03.006
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_03.004
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_04.006
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_04.004
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_05.006
16:21:43 | INFO: Blender create Mesh node AFT_LouverEdge_05.004
16:21:43 | INFO: Blender create Mesh node AFT_ReleaseLatch.007
16:21:43 | INFO: Blender create Mesh node AFT_ReleaseLatch.005
16:21:43 | INFO: Blender create Mesh node AFT_ServiceCassette.007
16:21:43 | INFO: Blender create Mesh node AFT_ServiceCassette.005
16:21:43 | INFO: Blender create Mesh node Cylinder.173
16:21:43 | INFO: Blender create Mesh node Cylinder.171
16:21:43 | INFO: Blender create Mesh node AFT_StatusLens.014
16:21:43 | INFO: Blender create Mesh node AFT_StatusLens.012
16:21:43 | INFO: Blender create Mesh node AFT_StatusLens.010
16:21:43 | INFO: Blender create Mesh node AFT_StatusLens.008
16:21:43 | INFO: Blender create Mesh node Cube.472
16:21:43 | INFO: Blender create Mesh node FIELD_LinkRadome.007
16:21:43 | INFO: Blender create Mesh node FIELD_LinkRadome.005
16:21:43 | INFO: Blender create Mesh node Cube.470
16:21:43 | INFO: Blender create Mesh node Cube.468
16:21:43 | INFO: Blender create Mesh node Cube.466
16:21:43 | INFO: Blender create Mesh node Cube.464
16:21:43 | INFO: Blender create Mesh node Cube.462
16:21:43 | INFO: Blender create Mesh node Cube.460
16:21:43 | INFO: Blender create Mesh node Cube.458
16:21:43 | INFO: Blender create Mesh node Cube.456
